STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/12/29,0,23,-1
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/13/29,0,4,-10
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/14/29,0.33,9,-7
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/15/29,0,9,-13
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/16/29,0.06,25,-1
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/17/29,0.02,35,25
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/18/29,0.84,35,18
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/19/29,0,30,10
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/20/29,0,16,1
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/21/29,0,29,11
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/22/29,0.9,42,13
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/23/29,0,15,4
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/24/29,0.03,33,12
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/25/29,0,34,4
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/26/29,0,21,0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/27/29,0.07,25,15
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/28/29,0,18,4
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/29/29,0,20,7
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/30/29,0.11,24,6
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/31/29,0.1,22,-3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/1/29,0,14,-9
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/2/29,0,24,2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/3/29,0,25,11
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/4/29,0,28,14
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/5/29,0,33,21
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/6/29,0.03,32,25
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/7/29,0.04,32,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/8/29,0.16,30,13
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/9/29,0,17,-2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/10/29,0,13,-9
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/11/29,0.01,16,-1
